Triwulan,Pert Eko (y-on-y)
2001 Q1,3.87
2001 Q2,5.77
2001 Q3,3.44
2001 Q4,1.56
2002 Q1,3.52
2002 Q2,4.21
2002 Q3,5.55
2002 Q4,4.68
2003 Q1,4.91
2003 Q2,5.03
2003 Q3,4.56
2003 Q4,4.63
2004 Q1,4.1
2004 Q2,4.39
2004 Q3,4.5
2004 Q4,7.16
2005 Q1,5.96
2005 Q2,5.87
2005 Q3,5.84
2005 Q4,5.11
2006 Q1,5.13
2006 Q2,4.93
2006 Q3,5.86
2006 Q4,6.06
2007 Q1,6.06
2007 Q2,6.73
2007 Q3,6.74
2007 Q4,5.84
2008 Q1,6.22
2008 Q2,6.3
2008 Q3,6.25
2008 Q4,5.28
2009 Q1,4.52
2009 Q2,4.14
2009 Q3,4.27
2009 Q4,5.6
2010 Q1,5.99
2010 Q2,7.72
2010 Q3,7.71
2010 Q4,7.96
2011 Q1,6.48
2011 Q2,6.27
2011 Q3,6.01
2011 Q4,5.94
2012 Q1,6.11
2012 Q2,6.21
2012 Q3,5.94
2012 Q4,5.87
2013 Q1,5.54
2013 Q2,5.59
2013 Q3,5.52
2013 Q4,5.58
2014 Q1,5.12
2014 Q2,4.94
2014 Q3,4.93
2014 Q4,5.05
2015 Q1,4.83
2015 Q2,4.74
2015 Q3,4.78
2015 Q4,5.15
2016 Q1,4.94
2016 Q2,5.21
2016 Q3,5.03
2016 Q4,4.94
2017 Q1,5.01
2017 Q2,5.01
2017 Q3,5.06
2017 Q4,5.19
2018 Q1,5.07
2018 Q2,5.27
2018 Q3,5.17
2018 Q4,5.18
2019 Q1,5.06
2019 Q2,5.05
2019 Q3,5.01
2019 Q4,4.96
2020 Q1,2.97
2020 Q2,-5.32
2020 Q3,-3.49
2020 Q4,-2.17
2021 Q1,-0.7
2021 Q2,7.07
2021 Q3,3.51
2021 Q4,5.02
